PULocationID,PUTimeDate,PUTimeBin,PUNum
107,2018-01-01 00:00:00,0,182
107,2018-01-01 00:30:00,1,284
107,2018-01-01 01:00:00,2,337
107,2018-01-01 01:30:00,3,316
107,2018-01-01 02:00:00,4,281
107,2018-01-01 02:30:00,5,210
107,2018-01-01 03:00:00,6,204
107,2018-01-01 03:30:00,7,180
107,2018-01-01 04:00:00,8,162
107,2018-01-01 04:30:00,9,115
107,2018-01-01 05:00:00,10,56
107,2018-01-01 05:30:00,11,46
107,2018-01-01 06:00:00,12,38
107,2018-01-01 06:30:00,13,31
107,2018-01-01 07:00:00,14,53
107,2018-01-01 07:30:00,15,50
107,2018-01-01 08:00:00,16,31
107,2018-01-01 08:30:00,17,31
107,2018-01-01 09:00:00,18,49
107,2018-01-01 09:30:00,19,71
107,2018-01-01 10:00:00,20,67
107,2018-01-01 10:30:00,21,68
107,2018-01-01 11:00:00,22,85
107,2018-01-01 11:30:00,23,114
107,2018-01-01 12:00:00,24,159
107,2018-01-01 12:30:00,25,149
107,2018-01-01 13:00:00,26,120
107,2018-01-01 13:30:00,27,128
107,2018-01-01 14:00:00,28,118
107,2018-01-01 14:30:00,29,145
107,2018-01-01 15:00:00,30,115
107,2018-01-01 15:30:00,31,108
107,2018-01-01 16:00:00,32,120
107,2018-01-01 16:30:00,33,130
107,2018-01-01 17:00:00,34,133
107,2018-01-01 17:30:00,35,98
107,2018-01-01 18:00:00,36,93
107,2018-01-01 18:30:00,37,97
107,2018-01-01 19:00:00,38,90
107,2018-01-01 19:30:00,39,114
107,2018-01-01 20:00:00,40,81
107,2018-01-01 20:30:00,41,103
107,2018-01-01 21:00:00,42,102
107,2018-01-01 21:30:00,43,85
107,2018-01-01 22:00:00,44,74
107,2018-01-01 22:30:00,45,52
107,2018-01-01 23:00:00,46,55
107,2018-01-01 23:30:00,47,43
107,2018-01-02 00:00:00,48,47
107,2018-01-02 00:30:00,49,20
107,2018-01-02 01:00:00,50,16
107,2018-01-02 01:30:00,51,26
107,2018-01-02 02:00:00,52,10
107,2018-01-02 02:30:00,53,8
107,2018-01-02 03:00:00,54,9
107,2018-01-02 03:30:00,55,9
107,2018-01-02 04:00:00,56,16
107,2018-01-02 04:30:00,57,7
107,2018-01-02 05:00:00,58,26
107,2018-01-02 05:30:00,59,39
107,2018-01-02 06:00:00,60,82
107,2018-01-02 06:30:00,61,135
107,2018-01-02 07:00:00,62,138
107,2018-01-02 07:30:00,63,172
107,2018-01-02 08:00:00,64,189
107,2018-01-02 08:30:00,65,190
107,2018-01-02 09:00:00,66,143
107,2018-01-02 09:30:00,67,162
107,2018-01-02 10:00:00,68,122
107,2018-01-02 10:30:00,69,119
107,2018-01-02 11:00:00,70,120
107,2018-01-02 11:30:00,71,106
107,2018-01-02 12:00:00,72,140
107,2018-01-02 12:30:00,73,130
107,2018-01-02 13:00:00,74,129
107,2018-01-02 13:30:00,75,121
107,2018-01-02 14:00:00,76,115
107,2018-01-02 14:30:00,77,133
107,2018-01-02 15:00:00,78,120
107,2018-01-02 15:30:00,79,106
107,2018-01-02 16:00:00,80,129
107,2018-01-02 16:30:00,81,105
107,2018-01-02 17:00:00,82,157
107,2018-01-02 17:30:00,83,129
107,2018-01-02 18:00:00,84,177
107,2018-01-02 18:30:00,85,139
107,2018-01-02 19:00:00,86,122
107,2018-01-02 19:30:00,87,119
107,2018-01-02 20:00:00,88,147
107,2018-01-02 20:30:00,89,120
107,2018-01-02 21:00:00,90,109
107,2018-01-02 21:30:00,91,104
107,2018-01-02 22:00:00,92,109
107,2018-01-02 22:30:00,93,66
107,2018-01-02 23:00:00,94,56
107,2018-01-02 23:30:00,95,63
107,2018-01-03 00:00:00,96,41
107,2018-01-03 00:30:00,97,45
107,2018-01-03 01:00:00,98,30
107,2018-01-03 01:30:00,99,26
107,2018-01-03 02:00:00,100,16
107,2018-01-03 02:30:00,101,19
107,2018-01-03 03:00:00,102,10
107,2018-01-03 03:30:00,103,7
107,2018-01-03 04:00:00,104,12
107,2018-01-03 04:30:00,105,13
107,2018-01-03 05:00:00,106,20
107,2018-01-03 05:30:00,107,37
107,2018-01-03 06:00:00,108,77
107,2018-01-03 06:30:00,109,145
107,2018-01-03 07:00:00,110,137
107,2018-01-03 07:30:00,111,220
107,2018-01-03 08:00:00,112,205
107,2018-01-03 08:30:00,113,232
107,2018-01-03 09:00:00,114,197
107,2018-01-03 09:30:00,115,171
107,2018-01-03 10:00:00,116,150
107,2018-01-03 10:30:00,117,142
107,2018-01-03 11:00:00,118,143
107,2018-01-03 11:30:00,119,165
107,2018-01-03 12:00:00,120,127
107,2018-01-03 12:30:00,121,122
107,2018-01-03 13:00:00,122,129
107,2018-01-03 13:30:00,123,140
107,2018-01-03 14:00:00,124,109
107,2018-01-03 14:30:00,125,166
107,2018-01-03 15:00:00,126,143
107,2018-01-03 15:30:00,127,122
107,2018-01-03 16:00:00,128,116
107,2018-01-03 16:30:00,129,150
107,2018-01-03 17:00:00,130,166
107,2018-01-03 17:30:00,131,156
107,2018-01-03 18:00:00,132,178
107,2018-01-03 18:30:00,133,175
107,2018-01-03 19:00:00,134,175
107,2018-01-03 19:30:00,135,197
107,2018-01-03 20:00:00,136,178
107,2018-01-03 20:30:00,137,178
107,2018-01-03 21:00:00,138,159
107,2018-01-03 21:30:00,139,127
107,2018-01-03 22:00:00,140,120
107,2018-01-03 22:30:00,141,91
107,2018-01-03 23:00:00,142,79
107,2018-01-03 23:30:00,143,74
107,2018-01-04 00:00:00,144,71
107,2018-01-04 00:30:00,145,41
107,2018-01-04 01:00:00,146,39
107,2018-01-04 01:30:00,147,31
107,2018-01-04 02:00:00,148,21
107,2018-01-04 02:30:00,149,20
107,2018-01-04 03:00:00,150,12
107,2018-01-04 03:30:00,151,11
107,2018-01-04 04:00:00,152,21
107,2018-01-04 04:30:00,153,12
107,2018-01-04 05:00:00,154,27
107,2018-01-04 05:30:00,155,46
107,2018-01-04 06:00:00,156,69
107,2018-01-04 06:30:00,157,78
107,2018-01-04 07:00:00,158,102
107,2018-01-04 07:30:00,159,107
107,2018-01-04 08:00:00,160,121
107,2018-01-04 08:30:00,161,100
107,2018-01-04 09:00:00,162,92
107,2018-01-04 09:30:00,163,91
107,2018-01-04 10:00:00,164,83
107,2018-01-04 10:30:00,165,42
107,2018-01-04 11:00:00,166,49
107,2018-01-04 11:30:00,167,70
107,2018-01-04 12:00:00,168,45
107,2018-01-04 12:30:00,169,50
107,2018-01-04 13:00:00,170,59
107,2018-01-04 13:30:00,171,54
107,2018-01-04 14:00:00,172,55
107,2018-01-04 14:30:00,173,55
107,2018-01-04 15:00:00,174,43
107,2018-01-04 15:30:00,175,39
107,2018-01-04 16:00:00,176,47
107,2018-01-04 16:30:00,177,52
107,2018-01-04 17:00:00,178,60
107,2018-01-04 17:30:00,179,49
107,2018-01-04 18:00:00,180,71
