PULocationID,PUTimeDate,PUTimeBin,PUNum
224,2018-06-01 00:00:00,7248,5
224,2018-06-01 00:30:00,7249,4
224,2018-06-01 01:00:00,7250,2
224,2018-06-01 01:30:00,7251,3
224,2018-06-01 02:00:00,7252,2
224,2018-06-01 02:30:00,7253,2
224,2018-06-01 03:00:00,7254,1
224,2018-06-01 03:30:00,7255,0
224,2018-06-01 04:00:00,7256,1
224,2018-06-01 04:30:00,7257,4
224,2018-06-01 05:00:00,7258,8
224,2018-06-01 05:30:00,7259,13
224,2018-06-01 06:00:00,7260,22
224,2018-06-01 06:30:00,7261,22
224,2018-06-01 07:00:00,7262,24
224,2018-06-01 07:30:00,7263,23
224,2018-06-01 08:00:00,7264,20
224,2018-06-01 08:30:00,7265,11
224,2018-06-01 09:00:00,7266,13
224,2018-06-01 09:30:00,7267,19
224,2018-06-01 10:00:00,7268,25
224,2018-06-01 10:30:00,7269,25
224,2018-06-01 11:00:00,7270,18
224,2018-06-01 11:30:00,7271,10
224,2018-06-01 12:00:00,7272,16
224,2018-06-01 12:30:00,7273,14
224,2018-06-01 13:00:00,7274,19
224,2018-06-01 13:30:00,7275,19
224,2018-06-01 14:00:00,7276,23
224,2018-06-01 14:30:00,7277,19
224,2018-06-01 15:00:00,7278,12
224,2018-06-01 15:30:00,7279,9
224,2018-06-01 16:00:00,7280,8
224,2018-06-01 16:30:00,7281,15
224,2018-06-01 17:00:00,7282,13
224,2018-06-01 17:30:00,7283,22
224,2018-06-01 18:00:00,7284,19
224,2018-06-01 18:30:00,7285,18
224,2018-06-01 19:00:00,7286,16
224,2018-06-01 19:30:00,7287,28
224,2018-06-01 20:00:00,7288,11
224,2018-06-01 20:30:00,7289,20
224,2018-06-01 21:00:00,7290,15
224,2018-06-01 21:30:00,7291,12
224,2018-06-01 22:00:00,7292,15
224,2018-06-01 22:30:00,7293,19
224,2018-06-01 23:00:00,7294,16
224,2018-06-01 23:30:00,7295,20
224,2018-06-02 00:00:00,7296,15
224,2018-06-02 00:30:00,7297,18
224,2018-06-02 01:00:00,7298,10
224,2018-06-02 01:30:00,7299,9
224,2018-06-02 02:00:00,7300,3
224,2018-06-02 02:30:00,7301,2
224,2018-06-02 03:00:00,7302,11
224,2018-06-02 03:30:00,7303,6
224,2018-06-02 04:00:00,7304,2
224,2018-06-02 04:30:00,7305,3
224,2018-06-02 05:00:00,7306,7
224,2018-06-02 05:30:00,7307,3
224,2018-06-02 06:00:00,7308,7
224,2018-06-02 06:30:00,7309,7
224,2018-06-02 07:00:00,7310,17
224,2018-06-02 07:30:00,7311,16
224,2018-06-02 08:00:00,7312,23
224,2018-06-02 08:30:00,7313,22
224,2018-06-02 09:00:00,7314,30
224,2018-06-02 09:30:00,7315,35
224,2018-06-02 10:00:00,7316,33
224,2018-06-02 10:30:00,7317,35
224,2018-06-02 11:00:00,7318,31
224,2018-06-02 11:30:00,7319,34
224,2018-06-02 12:00:00,7320,31
224,2018-06-02 12:30:00,7321,24
224,2018-06-02 13:00:00,7322,26
224,2018-06-02 13:30:00,7323,26
224,2018-06-02 14:00:00,7324,24
224,2018-06-02 14:30:00,7325,21
224,2018-06-02 15:00:00,7326,17
224,2018-06-02 15:30:00,7327,17
224,2018-06-02 16:00:00,7328,12
224,2018-06-02 16:30:00,7329,21
224,2018-06-02 17:00:00,7330,22
224,2018-06-02 17:30:00,7331,20
224,2018-06-02 18:00:00,7332,17
224,2018-06-02 18:30:00,7333,20
224,2018-06-02 19:00:00,7334,11
224,2018-06-02 19:30:00,7335,22
224,2018-06-02 20:00:00,7336,13
224,2018-06-02 20:30:00,7337,18
224,2018-06-02 21:00:00,7338,12
224,2018-06-02 21:30:00,7339,12
224,2018-06-02 22:00:00,7340,23
224,2018-06-02 22:30:00,7341,13
224,2018-06-02 23:00:00,7342,9
224,2018-06-02 23:30:00,7343,12
224,2018-06-03 00:00:00,7344,16
224,2018-06-03 00:30:00,7345,13
224,2018-06-03 01:00:00,7346,11
224,2018-06-03 01:30:00,7347,11
224,2018-06-03 02:00:00,7348,6
224,2018-06-03 02:30:00,7349,5
224,2018-06-03 03:00:00,7350,5
224,2018-06-03 03:30:00,7351,7
224,2018-06-03 04:00:00,7352,5
224,2018-06-03 04:30:00,7353,3
224,2018-06-03 05:00:00,7354,2
224,2018-06-03 05:30:00,7355,4
224,2018-06-03 06:00:00,7356,10
224,2018-06-03 06:30:00,7357,8
224,2018-06-03 07:00:00,7358,11
224,2018-06-03 07:30:00,7359,15
224,2018-06-03 08:00:00,7360,8
224,2018-06-03 08:30:00,7361,21
224,2018-06-03 09:00:00,7362,22
224,2018-06-03 09:30:00,7363,32
224,2018-06-03 10:00:00,7364,38
224,2018-06-03 10:30:00,7365,33
224,2018-06-03 11:00:00,7366,27
224,2018-06-03 11:30:00,7367,20
224,2018-06-03 12:00:00,7368,29
224,2018-06-03 12:30:00,7369,28
224,2018-06-03 13:00:00,7370,27
224,2018-06-03 13:30:00,7371,17
224,2018-06-03 14:00:00,7372,13
224,2018-06-03 14:30:00,7373,14
224,2018-06-03 15:00:00,7374,13
224,2018-06-03 15:30:00,7375,13
224,2018-06-03 16:00:00,7376,12
224,2018-06-03 16:30:00,7377,27
224,2018-06-03 17:00:00,7378,24
224,2018-06-03 17:30:00,7379,17
224,2018-06-03 18:00:00,7380,15
224,2018-06-03 18:30:00,7381,21
224,2018-06-03 19:00:00,7382,12
224,2018-06-03 19:30:00,7383,12
224,2018-06-03 20:00:00,7384,12
224,2018-06-03 20:30:00,7385,15
224,2018-06-03 21:00:00,7386,4
224,2018-06-03 21:30:00,7387,7
224,2018-06-03 22:00:00,7388,8
224,2018-06-03 22:30:00,7389,22
224,2018-06-03 23:00:00,7390,3
224,2018-06-03 23:30:00,7391,5
224,2018-06-04 00:00:00,7392,4
224,2018-06-04 00:30:00,7393,0
224,2018-06-04 01:00:00,7394,3
224,2018-06-04 01:30:00,7395,0
224,2018-06-04 02:00:00,7396,0
224,2018-06-04 02:30:00,7397,1
224,2018-06-04 03:00:00,7398,0
224,2018-06-04 03:30:00,7399,1
224,2018-06-04 04:00:00,7400,1
224,2018-06-04 04:30:00,7401,3
224,2018-06-04 05:00:00,7402,9
224,2018-06-04 05:30:00,7403,16
224,2018-06-04 06:00:00,7404,22
224,2018-06-04 06:30:00,7405,23
224,2018-06-04 07:00:00,7406,19
224,2018-06-04 07:30:00,7407,11
224,2018-06-04 08:00:00,7408,12
224,2018-06-04 08:30:00,7409,12
224,2018-06-04 09:00:00,7410,6
224,2018-06-04 09:30:00,7411,18
224,2018-06-04 10:00:00,7412,19
224,2018-06-04 10:30:00,7413,18
224,2018-06-04 11:00:00,7414,21
224,2018-06-04 11:30:00,7415,18
224,2018-06-04 12:00:00,7416,20
224,2018-06-04 12:30:00,7417,8
224,2018-06-04 13:00:00,7418,14
224,2018-06-04 13:30:00,7419,10
224,2018-06-04 14:00:00,7420,9
224,2018-06-04 14:30:00,7421,5
224,2018-06-04 15:00:00,7422,5
224,2018-06-04 15:30:00,7423,10
224,2018-06-04 16:00:00,7424,6
224,2018-06-04 16:30:00,7425,5
224,2018-06-04 17:00:00,7426,11
224,2018-06-04 17:30:00,7427,13
224,2018-06-04 18:00:00,7428,14
224,2018-06-04 18:30:00,7429,10
224,2018-06-04 19:00:00,7430,2
224,2018-06-04 19:30:00,7431,9
224,2018-06-04 20:00:00,7432,13
224,2018-06-04 20:30:00,7433,9
224,2018-06-04 21:00:00,7434,5
224,2018-06-04 21:30:00,7435,9
224,2018-06-04 22:00:00,7436,9
224,2018-06-04 22:30:00,7437,5
224,2018-06-04 23:00:00,7438,8
224,2018-06-04 23:30:00,7439,10
224,2018-06-05 00:00:00,7440,3
224,2018-06-05 00:30:00,7441,0
224,2018-06-05 01:00:00,7442,1
224,2018-06-05 01:30:00,7443,1
224,2018-06-05 02:00:00,7444,2
224,2018-06-05 02:30:00,7445,0
224,2018-06-05 03:00:00,7446,1
224,2018-06-05 03:30:00,7447,1
224,2018-06-05 04:00:00,7448,0
224,2018-06-05 04:30:00,7449,4
224,2018-06-05 05:00:00,7450,5
224,2018-06-05 05:30:00,7451,11
224,2018-06-05 06:00:00,7452,22
224,2018-06-05 06:30:00,7453,28
224,2018-06-05 07:00:00,7454,38
224,2018-06-05 07:30:00,7455,31
224,2018-06-05 08:00:00,7456,19
224,2018-06-05 08:30:00,7457,25
224,2018-06-05 09:00:00,7458,19
224,2018-06-05 09:30:00,7459,34
224,2018-06-05 10:00:00,7460,22
224,2018-06-05 10:30:00,7461,18
224,2018-06-05 11:00:00,7462,22
224,2018-06-05 11:30:00,7463,36
224,2018-06-05 12:00:00,7464,18
224,2018-06-05 12:30:00,7465,18
224,2018-06-05 13:00:00,7466,10
224,2018-06-05 13:30:00,7467,13
224,2018-06-05 14:00:00,7468,7
224,2018-06-05 14:30:00,7469,19
224,2018-06-05 15:00:00,7470,11
224,2018-06-05 15:30:00,7471,16
224,2018-06-05 16:00:00,7472,3
224,2018-06-05 16:30:00,7473,8
224,2018-06-05 17:00:00,7474,13
224,2018-06-05 17:30:00,7475,13
224,2018-06-05 18:00:00,7476,26
224,2018-06-05 18:30:00,7477,10
224,2018-06-05 19:00:00,7478,19
224,2018-06-05 19:30:00,7479,14
224,2018-06-05 20:00:00,7480,13
224,2018-06-05 20:30:00,7481,11
224,2018-06-05 21:00:00,7482,5
224,2018-06-05 21:30:00,7483,14
224,2018-06-05 22:00:00,7484,15
224,2018-06-05 22:30:00,7485,12
224,2018-06-05 23:00:00,7486,3
224,2018-06-05 23:30:00,7487,8
224,2018-06-06 00:00:00,7488,3
224,2018-06-06 00:30:00,7489,4
224,2018-06-06 01:00:00,7490,1
224,2018-06-06 01:30:00,7491,3
224,2018-06-06 02:00:00,7492,2
224,2018-06-06 02:30:00,7493,2
224,2018-06-06 03:00:00,7494,0
224,2018-06-06 03:30:00,7495,2
224,2018-06-06 04:00:00,7496,3
224,2018-06-06 04:30:00,7497,4
224,2018-06-06 05:00:00,7498,7
224,2018-06-06 05:30:00,7499,9
224,2018-06-06 06:00:00,7500,20
224,2018-06-06 06:30:00,7501,32
224,2018-06-06 07:00:00,7502,30
224,2018-06-06 07:30:00,7503,29
224,2018-06-06 08:00:00,7504,14
224,2018-06-06 08:30:00,7505,22
224,2018-06-06 09:00:00,7506,21
224,2018-06-06 09:30:00,7507,22
224,2018-06-06 10:00:00,7508,20
224,2018-06-06 10:30:00,7509,22
224,2018-06-06 11:00:00,7510,22
224,2018-06-06 11:30:00,7511,16
224,2018-06-06 12:00:00,7512,24
224,2018-06-06 12:30:00,7513,20
224,2018-06-06 13:00:00,7514,15
224,2018-06-06 13:30:00,7515,10
224,2018-06-06 14:00:00,7516,11
224,2018-06-06 14:30:00,7517,11
224,2018-06-06 15:00:00,7518,10
224,2018-06-06 15:30:00,7519,9
224,2018-06-06 16:00:00,7520,7
224,2018-06-06 16:30:00,7521,9
224,2018-06-06 17:00:00,7522,15
224,2018-06-06 17:30:00,7523,16
224,2018-06-06 18:00:00,7524,13
224,2018-06-06 18:30:00,7525,9
224,2018-06-06 19:00:00,7526,6
224,2018-06-06 19:30:00,7527,17
224,2018-06-06 20:00:00,7528,21
224,2018-06-06 20:30:00,7529,14
224,2018-06-06 21:00:00,7530,13
224,2018-06-06 21:30:00,7531,8
224,2018-06-06 22:00:00,7532,11
224,2018-06-06 22:30:00,7533,11
224,2018-06-06 23:00:00,7534,11
224,2018-06-06 23:30:00,7535,10
224,2018-06-07 00:00:00,7536,3
224,2018-06-07 00:30:00,7537,1
224,2018-06-07 01:00:00,7538,1
224,2018-06-07 01:30:00,7539,2
224,2018-06-07 02:00:00,7540,1
224,2018-06-07 02:30:00,7541,0
224,2018-06-07 03:00:00,7542,1
224,2018-06-07 03:30:00,7543,1
224,2018-06-07 04:00:00,7544,1
224,2018-06-07 04:30:00,7545,2
224,2018-06-07 05:00:00,7546,6
224,2018-06-07 05:30:00,7547,13
224,2018-06-07 06:00:00,7548,17
224,2018-06-07 06:30:00,7549,26
224,2018-06-07 07:00:00,7550,29
224,2018-06-07 07:30:00,7551,38
224,2018-06-07 08:00:00,7552,23
224,2018-06-07 08:30:00,7553,19
224,2018-06-07 09:00:00,7554,15
224,2018-06-07 09:30:00,7555,24
224,2018-06-07 10:00:00,7556,31
224,2018-06-07 10:30:00,7557,27
224,2018-06-07 11:00:00,7558,16
224,2018-06-07 11:30:00,7559,24
224,2018-06-07 12:00:00,7560,9
224,2018-06-07 12:30:00,7561,17
224,2018-06-07 13:00:00,7562,17
224,2018-06-07 13:30:00,7563,8
224,2018-06-07 14:00:00,7564,13
224,2018-06-07 14:30:00,7565,13
224,2018-06-07 15:00:00,7566,9
224,2018-06-07 15:30:00,7567,5
224,2018-06-07 16:00:00,7568,10
224,2018-06-07 16:30:00,7569,16
224,2018-06-07 17:00:00,7570,15
224,2018-06-07 17:30:00,7571,20
224,2018-06-07 18:00:00,7572,20
224,2018-06-07 18:30:00,7573,16
224,2018-06-07 19:00:00,7574,11
224,2018-06-07 19:30:00,7575,18
224,2018-06-07 20:00:00,7576,16
224,2018-06-07 20:30:00,7577,15
224,2018-06-07 21:00:00,7578,13
224,2018-06-07 21:30:00,7579,11
224,2018-06-07 22:00:00,7580,14
224,2018-06-07 22:30:00,7581,8
224,2018-06-07 23:00:00,7582,10
224,2018-06-07 23:30:00,7583,11
224,2018-06-08 00:00:00,7584,5
224,2018-06-08 00:30:00,7585,6
224,2018-06-08 01:00:00,7586,5
224,2018-06-08 01:30:00,7587,3
