PULocationID,PUTimeDate,PUTimeBin,PUNum
244,2018-06-01 00:00:00,7248,8
244,2018-06-01 00:30:00,7249,7
244,2018-06-01 01:00:00,7250,4
244,2018-06-01 01:30:00,7251,5
244,2018-06-01 02:00:00,7252,1
244,2018-06-01 02:30:00,7253,0
244,2018-06-01 03:00:00,7254,0
244,2018-06-01 03:30:00,7255,0
244,2018-06-01 04:00:00,7256,2
244,2018-06-01 04:30:00,7257,1
244,2018-06-01 05:00:00,7258,1
244,2018-06-01 05:30:00,7259,7
244,2018-06-01 06:00:00,7260,4
244,2018-06-01 06:30:00,7261,15
244,2018-06-01 07:00:00,7262,19
244,2018-06-01 07:30:00,7263,27
244,2018-06-01 08:00:00,7264,23
244,2018-06-01 08:30:00,7265,21
244,2018-06-01 09:00:00,7266,17
244,2018-06-01 09:30:00,7267,15
244,2018-06-01 10:00:00,7268,6
244,2018-06-01 10:30:00,7269,12
244,2018-06-01 11:00:00,7270,6
244,2018-06-01 11:30:00,7271,11
244,2018-06-01 12:00:00,7272,8
244,2018-06-01 12:30:00,7273,7
244,2018-06-01 13:00:00,7274,12
244,2018-06-01 13:30:00,7275,14
244,2018-06-01 14:00:00,7276,6
244,2018-06-01 14:30:00,7277,5
244,2018-06-01 15:00:00,7278,18
244,2018-06-01 15:30:00,7279,8
244,2018-06-01 16:00:00,7280,6
244,2018-06-01 16:30:00,7281,8
244,2018-06-01 17:00:00,7282,7
244,2018-06-01 17:30:00,7283,10
244,2018-06-01 18:00:00,7284,11
244,2018-06-01 18:30:00,7285,6
244,2018-06-01 19:00:00,7286,13
244,2018-06-01 19:30:00,7287,8
244,2018-06-01 20:00:00,7288,5
244,2018-06-01 20:30:00,7289,3
244,2018-06-01 21:00:00,7290,9
244,2018-06-01 21:30:00,7291,9
244,2018-06-01 22:00:00,7292,8
244,2018-06-01 22:30:00,7293,16
244,2018-06-01 23:00:00,7294,15
244,2018-06-01 23:30:00,7295,8
244,2018-06-02 00:00:00,7296,9
244,2018-06-02 00:30:00,7297,7
244,2018-06-02 01:00:00,7298,11
244,2018-06-02 01:30:00,7299,1
244,2018-06-02 02:00:00,7300,6
244,2018-06-02 02:30:00,7301,5
244,2018-06-02 03:00:00,7302,7
244,2018-06-02 03:30:00,7303,3
244,2018-06-02 04:00:00,7304,6
244,2018-06-02 04:30:00,7305,3
244,2018-06-02 05:00:00,7306,8
244,2018-06-02 05:30:00,7307,3
244,2018-06-02 06:00:00,7308,4
244,2018-06-02 06:30:00,7309,5
244,2018-06-02 07:00:00,7310,9
244,2018-06-02 07:30:00,7311,12
244,2018-06-02 08:00:00,7312,6
244,2018-06-02 08:30:00,7313,6
244,2018-06-02 09:00:00,7314,8
244,2018-06-02 09:30:00,7315,7
244,2018-06-02 10:00:00,7316,14
244,2018-06-02 10:30:00,7317,5
244,2018-06-02 11:00:00,7318,7
244,2018-06-02 11:30:00,7319,9
244,2018-06-02 12:00:00,7320,4
244,2018-06-02 12:30:00,7321,7
244,2018-06-02 13:00:00,7322,11
244,2018-06-02 13:30:00,7323,10
244,2018-06-02 14:00:00,7324,8
244,2018-06-02 14:30:00,7325,6
244,2018-06-02 15:00:00,7326,9
244,2018-06-02 15:30:00,7327,4
244,2018-06-02 16:00:00,7328,5
244,2018-06-02 16:30:00,7329,5
244,2018-06-02 17:00:00,7330,2
244,2018-06-02 17:30:00,7331,4
244,2018-06-02 18:00:00,7332,6
244,2018-06-02 18:30:00,7333,8
244,2018-06-02 19:00:00,7334,12
244,2018-06-02 19:30:00,7335,14
244,2018-06-02 20:00:00,7336,12
244,2018-06-02 20:30:00,7337,8
244,2018-06-02 21:00:00,7338,6
244,2018-06-02 21:30:00,7339,8
244,2018-06-02 22:00:00,7340,10
244,2018-06-02 22:30:00,7341,12
244,2018-06-02 23:00:00,7342,21
244,2018-06-02 23:30:00,7343,13
244,2018-06-03 00:00:00,7344,11
244,2018-06-03 00:30:00,7345,13
244,2018-06-03 01:00:00,7346,12
244,2018-06-03 01:30:00,7347,8
244,2018-06-03 02:00:00,7348,5
244,2018-06-03 02:30:00,7349,5
244,2018-06-03 03:00:00,7350,6
244,2018-06-03 03:30:00,7351,7
244,2018-06-03 04:00:00,7352,5
244,2018-06-03 04:30:00,7353,3
244,2018-06-03 05:00:00,7354,5
244,2018-06-03 05:30:00,7355,4
244,2018-06-03 06:00:00,7356,4
244,2018-06-03 06:30:00,7357,7
244,2018-06-03 07:00:00,7358,8
244,2018-06-03 07:30:00,7359,10
244,2018-06-03 08:00:00,7360,10
244,2018-06-03 08:30:00,7361,9
