PULocationID,PUTimeDate,PUTimeBin,PUNum
249,2018-05-01 00:00:00,5760,91
249,2018-05-01 00:30:00,5761,67
249,2018-05-01 01:00:00,5762,62
249,2018-05-01 01:30:00,5763,59
249,2018-05-01 02:00:00,5764,52
249,2018-05-01 02:30:00,5765,40
249,2018-05-01 03:00:00,5766,27
249,2018-05-01 03:30:00,5767,20
249,2018-05-01 04:00:00,5768,26
249,2018-05-01 04:30:00,5769,16
249,2018-05-01 05:00:00,5770,21
249,2018-05-01 05:30:00,5771,25
249,2018-05-01 06:00:00,5772,42
249,2018-05-01 06:30:00,5773,86
249,2018-05-01 07:00:00,5774,95
249,2018-05-01 07:30:00,5775,124
249,2018-05-01 08:00:00,5776,129
249,2018-05-01 08:30:00,5777,125
249,2018-05-01 09:00:00,5778,123
249,2018-05-01 09:30:00,5779,124
249,2018-05-01 10:00:00,5780,102
249,2018-05-01 10:30:00,5781,90
249,2018-05-01 11:00:00,5782,78
249,2018-05-01 11:30:00,5783,95
249,2018-05-01 12:00:00,5784,64
249,2018-05-01 12:30:00,5785,96
249,2018-05-01 13:00:00,5786,82
249,2018-05-01 13:30:00,5787,88
249,2018-05-01 14:00:00,5788,83
249,2018-05-01 14:30:00,5789,104
249,2018-05-01 15:00:00,5790,98
249,2018-05-01 15:30:00,5791,80
249,2018-05-01 16:00:00,5792,82
249,2018-05-01 16:30:00,5793,86
249,2018-05-01 17:00:00,5794,99
249,2018-05-01 17:30:00,5795,121
249,2018-05-01 18:00:00,5796,138
249,2018-05-01 18:30:00,5797,144
249,2018-05-01 19:00:00,5798,151
249,2018-05-01 19:30:00,5799,152
249,2018-05-01 20:00:00,5800,169
249,2018-05-01 20:30:00,5801,216
249,2018-05-01 21:00:00,5802,224
249,2018-05-01 21:30:00,5803,236
249,2018-05-01 22:00:00,5804,230
249,2018-05-01 22:30:00,5805,200
249,2018-05-01 23:00:00,5806,215
249,2018-05-01 23:30:00,5807,186
249,2018-05-02 00:00:00,5808,121
249,2018-05-02 00:30:00,5809,101
249,2018-05-02 01:00:00,5810,73
249,2018-05-02 01:30:00,5811,43
249,2018-05-02 02:00:00,5812,53
249,2018-05-02 02:30:00,5813,48
249,2018-05-02 03:00:00,5814,37
249,2018-05-02 03:30:00,5815,23
249,2018-05-02 04:00:00,5816,26
249,2018-05-02 04:30:00,5817,16
249,2018-05-02 05:00:00,5818,23
249,2018-05-02 05:30:00,5819,30
249,2018-05-02 06:00:00,5820,54
249,2018-05-02 06:30:00,5821,81
249,2018-05-02 07:00:00,5822,89
249,2018-05-02 07:30:00,5823,103
249,2018-05-02 08:00:00,5824,121
249,2018-05-02 08:30:00,5825,127
249,2018-05-02 09:00:00,5826,134
249,2018-05-02 09:30:00,5827,116
249,2018-05-02 10:00:00,5828,85
249,2018-05-02 10:30:00,5829,96
249,2018-05-02 11:00:00,5830,107
249,2018-05-02 11:30:00,5831,117
249,2018-05-02 12:00:00,5832,97
249,2018-05-02 12:30:00,5833,79
249,2018-05-02 13:00:00,5834,105
249,2018-05-02 13:30:00,5835,95
249,2018-05-02 14:00:00,5836,120
249,2018-05-02 14:30:00,5837,113
249,2018-05-02 15:00:00,5838,112
249,2018-05-02 15:30:00,5839,100
249,2018-05-02 16:00:00,5840,98
249,2018-05-02 16:30:00,5841,83
249,2018-05-02 17:00:00,5842,94
249,2018-05-02 17:30:00,5843,103
249,2018-05-02 18:00:00,5844,138
249,2018-05-02 18:30:00,5845,156
249,2018-05-02 19:00:00,5846,165
249,2018-05-02 19:30:00,5847,163
249,2018-05-02 20:00:00,5848,148
249,2018-05-02 20:30:00,5849,188
249,2018-05-02 21:00:00,5850,261
249,2018-05-02 21:30:00,5851,229
249,2018-05-02 22:00:00,5852,237
249,2018-05-02 22:30:00,5853,224
249,2018-05-02 23:00:00,5854,248
249,2018-05-02 23:30:00,5855,245
249,2018-05-03 00:00:00,5856,163
249,2018-05-03 00:30:00,5857,118
249,2018-05-03 01:00:00,5858,99
249,2018-05-03 01:30:00,5859,59
249,2018-05-03 02:00:00,5860,59
249,2018-05-03 02:30:00,5861,50
249,2018-05-03 03:00:00,5862,35
249,2018-05-03 03:30:00,5863,35
249,2018-05-03 04:00:00,5864,24
249,2018-05-03 04:30:00,5865,26
249,2018-05-03 05:00:00,5866,30
249,2018-05-03 05:30:00,5867,46
249,2018-05-03 06:00:00,5868,49
249,2018-05-03 06:30:00,5869,81
249,2018-05-03 07:00:00,5870,108
249,2018-05-03 07:30:00,5871,123
249,2018-05-03 08:00:00,5872,140
249,2018-05-03 08:30:00,5873,141
249,2018-05-03 09:00:00,5874,134
249,2018-05-03 09:30:00,5875,138
249,2018-05-03 10:00:00,5876,114
249,2018-05-03 10:30:00,5877,101
249,2018-05-03 11:00:00,5878,92
249,2018-05-03 11:30:00,5879,97
249,2018-05-03 12:00:00,5880,101
249,2018-05-03 12:30:00,5881,91
249,2018-05-03 13:00:00,5882,97
249,2018-05-03 13:30:00,5883,102
249,2018-05-03 14:00:00,5884,112
249,2018-05-03 14:30:00,5885,129
249,2018-05-03 15:00:00,5886,130
249,2018-05-03 15:30:00,5887,118
249,2018-05-03 16:00:00,5888,100
249,2018-05-03 16:30:00,5889,94
249,2018-05-03 17:00:00,5890,99
249,2018-05-03 17:30:00,5891,110
249,2018-05-03 18:00:00,5892,155
249,2018-05-03 18:30:00,5893,176
249,2018-05-03 19:00:00,5894,220
249,2018-05-03 19:30:00,5895,174
249,2018-05-03 20:00:00,5896,174
249,2018-05-03 20:30:00,5897,220
249,2018-05-03 21:00:00,5898,203
249,2018-05-03 21:30:00,5899,230
249,2018-05-03 22:00:00,5900,245
249,2018-05-03 22:30:00,5901,207
249,2018-05-03 23:00:00,5902,205
249,2018-05-03 23:30:00,5903,261
249,2018-05-04 00:00:00,5904,194
249,2018-05-04 00:30:00,5905,191
249,2018-05-04 01:00:00,5906,177
249,2018-05-04 01:30:00,5907,156
249,2018-05-04 02:00:00,5908,105
249,2018-05-04 02:30:00,5909,96
249,2018-05-04 03:00:00,5910,62
249,2018-05-04 03:30:00,5911,62
249,2018-05-04 04:00:00,5912,38
249,2018-05-04 04:30:00,5913,38
249,2018-05-04 05:00:00,5914,32
249,2018-05-04 05:30:00,5915,46
249,2018-05-04 06:00:00,5916,55
249,2018-05-04 06:30:00,5917,94
249,2018-05-04 07:00:00,5918,103
249,2018-05-04 07:30:00,5919,117
249,2018-05-04 08:00:00,5920,119
249,2018-05-04 08:30:00,5921,147
249,2018-05-04 09:00:00,5922,121
249,2018-05-04 09:30:00,5923,143
249,2018-05-04 10:00:00,5924,105
249,2018-05-04 10:30:00,5925,114
249,2018-05-04 11:00:00,5926,89
249,2018-05-04 11:30:00,5927,96
249,2018-05-04 12:00:00,5928,79
249,2018-05-04 12:30:00,5929,85
249,2018-05-04 13:00:00,5930,113
249,2018-05-04 13:30:00,5931,95
249,2018-05-04 14:00:00,5932,87
249,2018-05-04 14:30:00,5933,94
249,2018-05-04 15:00:00,5934,103
249,2018-05-04 15:30:00,5935,104
249,2018-05-04 16:00:00,5936,85
249,2018-05-04 16:30:00,5937,101
249,2018-05-04 17:00:00,5938,96
249,2018-05-04 17:30:00,5939,142
249,2018-05-04 18:00:00,5940,150
249,2018-05-04 18:30:00,5941,148
249,2018-05-04 19:00:00,5942,182
249,2018-05-04 19:30:00,5943,188
249,2018-05-04 20:00:00,5944,173
249,2018-05-04 20:30:00,5945,236
249,2018-05-04 21:00:00,5946,246
249,2018-05-04 21:30:00,5947,243
249,2018-05-04 22:00:00,5948,251
249,2018-05-04 22:30:00,5949,288
249,2018-05-04 23:00:00,5950,318
249,2018-05-04 23:30:00,5951,313
249,2018-05-05 00:00:00,5952,333
249,2018-05-05 00:30:00,5953,345
249,2018-05-05 01:00:00,5954,307
249,2018-05-05 01:30:00,5955,277
249,2018-05-05 02:00:00,5956,220
249,2018-05-05 02:30:00,5957,183
249,2018-05-05 03:00:00,5958,155
249,2018-05-05 03:30:00,5959,125
249,2018-05-05 04:00:00,5960,93
249,2018-05-05 04:30:00,5961,44
249,2018-05-05 05:00:00,5962,30
249,2018-05-05 05:30:00,5963,23
249,2018-05-05 06:00:00,5964,19
249,2018-05-05 06:30:00,5965,27
249,2018-05-05 07:00:00,5966,38
249,2018-05-05 07:30:00,5967,56
249,2018-05-05 08:00:00,5968,45
249,2018-05-05 08:30:00,5969,66
249,2018-05-05 09:00:00,5970,78
